time,temp
93,23.20
94,23.80
95,23.80
96,24.30
97,24.30
98,24.80
99,24.80
100,24.50
101,24.50
102,24.00
103,24.00
104,24.90
105,24.90
106,24.80
107,24.80
108,24.10
109,24.10
110,24.00
111,24.00
112,24.90
113,24.90
114,25.50
115,25.50
116,25.00
117,25.00
118,25.10
119,25.10
120,25.00
121,25.00
122,25.70
123,25.70
124,25.00
125,25.00
126,25.90
127,25.90
128,25.10
129,25.10
130,25.50
131,25.50
132,25.10
133,25.10
134,25.80
135,25.80
