n,input_signal,filtered_signal,
0,2.0,-0.008688295260071754,
1,1.3466994762420654,-0.024187803268432617,
2,0.21030855178833008,-0.03271064534783363,
3,0.004819273948669434,-0.044200599193573,
4,0.9217044711112976,-0.05562962591648102,
5,1.685765266418457,-0.06887416541576385,
6,1.193784236907959,-0.07345202565193176,
7,-0.06724381446838379,-0.062482450157403946,
8,-0.6414275169372559,-0.03212844580411911,
9,0.03172293305397034,0.014736617915332317,
10,0.9023085832595825,0.07715363800525665,
11,0.6615232229232788,0.1570807546377182,
12,-0.5745565891265869,0.256283164024353,
13,-1.409376859664917,0.36944156885147095,
14,-0.9533633589744568,0.4846441149711609,
15,0.03902912139892578,0.5897200703620911,
16,0.14119935035705566,0.6778718829154968,
17,-0.9114499688148499,0.7459579706192017,
18,-1.8789787292480469,0.7887911200523376,
19,-1.6051379442214966,0.7979265451431274,
20,-0.4990721344947815,0.766789972782135,
21,-0.008796930313110352,0.6969730257987976,
22,-0.7628310918807983,0.5961984395980835,
23,-1.7635747194290161,0.47279366850852966,
24,-1.6681859493255615,0.3294559419155121,
25,-0.5127423405647278,0.16947400569915771,
26,0.3318105936050415,-0.00237240525893867,
27,-0.0837230384349823,-0.1722465455532074,
28,-1.0722286701202393,-0.33473867177963257,
29,-1.1954119205474854,-0.48043879866600037,
30,-0.11328709870576859,-0.6205137968063354,
31,0.9753705263137817,-0.7442455887794495,
32,0.8666492700576782,-0.8442549109458923,
33,-0.10832294821739197,-0.9242267608642578,
34,-0.5126814842224121,-0.9827372431755066,
35,0.3481041491031647,-1.018553376197815,
36,1.5310795307159424,-1.0304808616638184,
37,1.6617975234985352,-1.0178459882736206,
38,0.6945654153823853,-0.9810150861740112,
39,-0.031925737857818604,-0.9212979674339294,
40,0.4856381416320801,-0.8403448462486267,
41,1.6260135173797607,-0.7397909760475159,
42,1.9396629333496094,-0.6215587854385376,
43,1.0081429481506348,-0.4883761405944824,
44,-0.018464624881744385,-0.34377527236938477,
45,0.10368019342422485,-0.19149093329906464,
46,1.1181652545928955,-0.0349377766251564,
47,1.5994665622711182,0.12266163527965546,
48,0.7850791811943054,0.2777707278728485,
49,-0.44287624955177307,0.42640963196754456,
50,-0.6855185627937317,0.5646825432777405,
51,0.181952565908432,0.6893880367279053,
52,0.854599118232727,0.7980359196662903,
53,0.2765507698059082,0.8883429169654846,
54,-0.9997348785400391,0.9579429030418396,
55,-1.517805814743042,1.0047558546066284,
56,-0.7817811965942383,1.0276094675064087,
57,0.11146658658981323,1.0263599157333374,
58,-0.1168828010559082,1.001390814781189,
59,-1.2834715843200684,0.9531497359275818,
60,-1.975664496421814,0.8823158144950867,
61,-1.3618825674057007,0.7903656959533691,
62,-0.25743162631988525,0.6797789931297302,
63,-0.07758021354675293,0.5535686016082764,
64,-1.0218966007232666,0.4146770238876343,
65,-1.8187196254730225,0.26593470573425293,
66,-1.358391284942627,0.11054712533950806,
67,-0.11892396211624146,-0.047610990703105927,
68,0.44455307722091675,-0.20437641441822052,
69,-0.2362196147441864,-0.35597020387649536,
70,-1.117281198501587,-0.4992125332355499,
71,-0.885807991027832,-0.6311078667640686,
72,0.35107362270355225,-0.7484439015388489,
73,1.1993039846420288,-0.8480135202407837,
74,0.7620512247085571,-0.927269697189331,
75,-0.21411344408988953,-0.984653115272522,
76,-0.30142784118652344,-1.0192415714263916,
77,0.7729206681251526,-1.030225396156311,
78,1.773139238357544,-1.0169235467910767,
79,1.53690505027771,-0.9793422222137451,
80,0.46404215693473816,-0.9185672402381897,
81,0.0010983943939208984,-0.8364785313606262,
82,0.7838209867477417,-0.7351241707801819,
83,1.8202922344207764,-0.6165185570716858,
84,1.7635490894317627,-0.483064204454422,
85,0.640023410320282,-0.3379870355129242,
86,-0.1830928921699524,-0.18514211475849152,
87,0.2495228350162506,-0.028349507600069046,
88,1.2581150531768799,0.12899239361286163,
89,1.4027634859085083,0.28362107276916504,
90,0.33451393246650696,0.431932657957077,
91,-0.7531877160072327,0.5700298547744751,
92,-0.6515299081802368,0.6943461298942566,
93,0.31699246168136597,0.8021432161331177,
94,0.7169470191001892,0.8913439512252808,
95,-0.15380367636680603,0.95999675989151,
96,-1.358776569366455,1.0061392784118652,
97,-1.520105004310608,1.0282922983169556,
98,-0.5826416015625,1.0260026454925537,
99,0.11900663375854492,0.9997681379318237,
100,-0.4241722822189331,0.9504554867744446,
101,-1.5982588529586792,0.878959059715271,
102,-1.9523327350616455,0.7865172624588013,
103,-1.058599829673767,0.6752501726150513,
104,-0.06086325645446777,0.5481736660003662,
105,-0.20684438943862915,0.40861231088638306,
106,-1.2481595277786255,0.259684681892395,
107,-1.760312795639038,0.10443424433469772,
108,-0.9726575016975403,-0.05366019904613495,
109,0.24028199911117554,-0.2105504870414734,
110,0.4775907099246979,-0.362145334482193,
111,-0.39413467049598694,-0.5049275755882263,
112,-1.0737192630767822,-0.6359819173812866,
113,-0.499086856842041,-0.7525005340576172,
114,0.7854267358779907,-0.8515042066574097,
115,1.323042631149292,-0.9302214980125427,
116,0.6092146635055542,-0.986729085445404,
117,-0.2654508352279663,-1.0200904607772827,
118,-0.018501222133636475,-1.0298782587051392,
119,1.175018310546875,-1.0157275199890137,
120,1.9039140939712524,-0.9775165915489197,
121,1.328574776649475,-0.9159538149833679,
122,0.2561740279197693,-0.8328027725219727,
123,0.10318112373352051,-0.7304333448410034,
124,1.0771968364715576,-0.6112309098243713,
125,1.9100924730300903,-0.4775642156600952,
126,1.485792636871338,-0.33228209614753723,
127,0.27313661575317383,-0.1790197491645813,
128,-0.2736784815788269,-0.021825453266501427,
129,0.4213114380836487,0.13550902903079987,
130,1.3198344707489014,0.28966736793518066,
131,1.1049903631210327,0.43739956617355347,
132,-0.12518343329429626,0.5751239657402039,
133,-0.9794013500213623,0.699154257774353,
134,-0.5537916421890259,0.8063669204711914,
135,0.4128796458244324,0.8945434093475342,
136,0.4915601313114166,0.9620395302772522,
