n,input_signal,filtered_signal,output_freq,input_fft_mag,filtered_fft_mag,
0,0.9995008111000061,-1.4482814073562622,0.0,1.4135076999664307,3.3198273181915283,
1,-0.00034630298614501953,-1.8474597930908203,8.0,1.0003039836883545,3.296326160430908,
2,0.999181866645813,-1.5297555923461914,16.0,1.0006312131881714,3.301068067550659,
3,0.0029649734497070312,-1.7554824352264404,24.0,1.0003808736801147,3.30983567237854,
4,0.9990015029907227,-1.6081571578979492,32.0,1.0009444952011108,3.3211655616760254,
5,0.006333112716674805,-1.661562442779541,40.0,0.9982794523239136,3.3388075828552246,
6,0.9966599941253662,-1.6849473714828491,48.0,0.9990358948707581,3.356311082839966,
7,0.01126241683959961,-1.5636589527130127,56.0,0.9995421767234802,3.37715744972229,
8,0.9946209788322449,-1.7573397159576416,64.0,1.0030372142791748,3.3986976146698,
9,0.016217350959777832,-1.4635529518127441,72.0,1.000495433807373,3.4286677837371826,
10,0.9917210340499878,-1.827117681503296,80.0,0.999342143535614,3.4602389335632324,
11,0.0180361270904541,-1.3636938333511353,88.0,1.001447081565857,3.4914774894714355,
12,0.9905989766120911,-1.8912709951400757,96.0,1.0012770891189575,3.5275604724884033,
13,0.020483851432800293,-1.2606816291809082,104.0,1.0024467706680298,3.565303087234497,
14,0.9907978773117065,-1.951743721961975,112.0,1.002363681793213,3.606306552886963,
15,0.02199721336364746,-1.1562583446502686,120.0,1.001960039138794,3.65006160736084,
16,0.9897937774658203,-2.0087380409240723,128.0,1.0039339065551758,3.6936049461364746,
17,0.028530359268188477,-1.0450711250305176,136.0,1.0028488636016846,3.74229097366333,
18,0.9886214733123779,-2.063884973526001,144.0,1.004303216934204,3.7905051708221436,
19,0.030772686004638672,-0.9373842477798462,152.0,1.0051707029342651,3.841501235961914,
20,0.986896276473999,-2.1146903038024902,160.0,1.0050559043884277,3.8947675228118896,
21,0.03447413444519043,-0.826904833316803,168.0,1.0038459300994873,3.9497873783111572,
22,0.985218346118927,-2.159606456756592,176.0,1.0073943138122559,4.003250598907471,
23,0.039249420166015625,-0.7139934301376343,184.0,1.0081837177276611,4.060218811035156,
24,0.9822137951850891,-2.20196795463562,192.0,1.0114370584487915,4.1162214279174805,
25,0.04155123233795166,-0.6004812717437744,200.0,1.002966284751892,4.183592796325684,
26,0.9790388345718384,-2.240009307861328,208.0,1.0069379806518555,4.240874290466309,
27,0.04382288455963135,-0.4833940863609314,216.0,1.00941002368927,4.299820423126221,
28,0.9791955947875977,-2.2742486000061035,224.0,1.0087125301361084,4.362797737121582,
29,0.04382514953613281,-0.367450475692749,232.0,1.0097367763519287,4.424744606018066,
30,0.9808654189109802,-2.3047590255737305,240.0,1.0093655586242676,4.488688945770264,
31,0.04516029357910156,-0.25000929832458496,248.0,1.0107707977294922,4.551126003265381,
32,0.9841970205307007,-2.3295047283172607,256.0,1.0105990171432495,4.615323066711426,
33,0.050113797187805176,-0.1318424940109253,264.0,1.0128542184829712,4.67742919921875,
34,0.9844369888305664,-2.352238178253174,272.0,1.0137454271316528,4.7409257888793945,
35,0.055434346199035645,-0.012774601578712463,280.0,1.012430191040039,4.806939601898193,
36,0.9830692410469055,-2.369102954864502,288.0,1.013858675956726,4.869412422180176,
37,0.062154293060302734,0.10725848376750946,296.0,1.0157548189163208,4.931474685668945,
38,0.979155421257019,-2.382117748260498,304.0,1.0181190967559814,4.993043899536133,
39,0.06835365295410156,0.22945445775985718,312.0,1.0175142288208008,5.05720329284668,
40,0.9755986332893372,-2.3914809226989746,320.0,1.0172951221466064,5.120031833648682,
41,0.07170248031616211,0.35032719373703003,328.0,1.019858479499817,5.179829120635986,
42,0.9756283760070801,-2.3976082801818848,336.0,1.0204582214355469,5.240873336791992,
43,0.07086968421936035,0.4678020179271698,344.0,1.0210310220718384,5.301106929779053,
44,0.973280131816864,-2.3956778049468994,352.0,1.021977424621582,5.360225200653076,
45,0.07660508155822754,0.5919151306152344,360.0,1.0233968496322632,5.417870998382568,
46,0.9724112153053284,-2.391387462615967,368.0,1.0247817039489746,5.474599838256836,
47,0.080452561378479,0.7139796614646912,376.0,1.0245245695114136,5.531910419464111,
48,0.9707333445549011,-2.380910634994507,384.0,1.0256290435791016,5.5866379737854,
49,0.08693313598632812,0.8363091349601746,392.0,1.0280253887176514,5.638874053955078,
50,0.9676125049591064,-2.374816417694092,400.0,1024.9892578125,1049.3638916015625,
51,0.08408665657043457,0.9554511308670044,408.0,1.0307782888412476,5.7414374351501465,
52,0.9661274552345276,-2.3551063537597656,416.0,1.0320756435394287,5.790680885314941,
53,0.09011995792388916,1.076641321182251,424.0,1.0335519313812256,5.838228225708008,
54,0.9659009575843811,-2.332771062850952,432.0,1.0339497327804565,5.8853230476379395,
55,0.09356164932250977,1.1948323249816895,440.0,1.0349355936050415,5.930236339569092,
56,0.964715301990509,-2.3079848289489746,448.0,1.0372358560562134,5.971999168395996,
57,0.09558272361755371,1.3134937286376953,456.0,1.0377578735351562,6.013962268829346,
58,0.9639682173728943,-2.277686357498169,464.0,1.03904128074646,6.053316593170166,
59,0.09919822216033936,1.4310288429260254,472.0,1.040230393409729,6.090847969055176,
60,0.9621779918670654,-2.2437424659729004,480.0,1.042229175567627,6.125707149505615,
61,0.10238289833068848,1.5482275485992432,488.0,1.0438469648361206,6.158990859985352,
62,0.9610559940338135,-2.204728603363037,496.0,1.0444432497024536,6.191236972808838,
63,0.10642683506011963,1.6630144119262695,504.0,1.0462737083435059,6.2204270362854,
64,0.9593385457992554,-2.1626272201538086,512.0,1.0482279062271118,6.247219085693359,
65,0.10924279689788818,1.7764887809753418,520.0,1.049821138381958,6.272174835205078,
66,0.9581124186515808,-2.1146240234375,528.0,1.0511531829833984,6.295305252075195,
67,0.11278808116912842,1.8880102634429932,536.0,1.0526748895645142,6.316125392913818,
68,0.9573412537574768,-2.0634520053863525,544.0,1.0540363788604736,6.3348307609558105,
69,0.11585366725921631,1.9979333877563477,552.0,1.0560656785964966,6.350692272186279,
70,0.9547351598739624,-2.0083727836608887,560.0,1.058458924293518,6.363893032073975,
71,0.1188664436340332,2.1081016063690186,568.0,1.0595602989196777,6.375802516937256,
72,0.9549159407615662,-1.9498302936553955,576.0,1.0610642433166504,6.385351181030273,
73,0.12175369262695312,2.212413787841797,584.0,1.0630128383636475,6.39192008972168,
74,0.9544399380683899,-1.8863558769226074,592.0,1.0644406080245972,6.3966803550720215,
75,0.12555062770843506,2.3152434825897217,600.0,1.0666630268096924,6.3984222412109375,
76,0.9528785943984985,-1.8177683353424072,608.0,1.0690540075302124,6.397605895996094,
77,0.13017630577087402,2.4164657592773438,616.0,1.0697612762451172,6.395747661590576,
78,0.9496802687644958,-1.7467353343963623,624.0,1.071767807006836,6.390460968017578,
79,0.13318562507629395,2.516441822052002,632.0,1.0738688707351685,6.383017539978027,
80,0.9494999051094055,-1.6737748384475708,640.0,1.0762938261032104,6.372384071350098,
81,0.13483858108520508,2.6116724014282227,648.0,1.078079342842102,6.359985828399658,
82,0.9483163356781006,-1.594257116317749,656.0,1.0797876119613647,6.345714092254639,
83,0.13942599296569824,2.70406174659729,664.0,1.0817217826843262,6.328672885894775,
84,0.9465049505233765,-1.5125277042388916,672.0,1.084192156791687,6.3086628913879395,
85,0.1424546241760254,2.7940192222595215,680.0,1.0863851308822632,6.286726951599121,
86,0.9456133246421814,-1.4279837608337402,688.0,1.0878013372421265,6.26309871673584,
87,0.14545249938964844,2.8803768157958984,696.0,1.0907106399536133,6.236105442047119,
88,0.943764328956604,-1.3393754959106445,704.0,1.09303617477417,6.2071380615234375,
89,0.14896845817565918,2.963595390319824,712.0,1.094459891319275,6.176244735717773,
90,0.9422957301139832,-1.2480318546295166,720.0,1.0973632335662842,6.142826080322266,
91,0.15235185623168945,3.0426905155181885,728.0,1.0996943712234497,6.107365608215332,
92,0.9407232999801636,-1.153346300125122,736.0,1.1019638776779175,6.069413661956787,
93,0.15562915802001953,3.1183485984802246,744.0,1.1039791107177734,6.029965877532959,
94,0.9390087723731995,-1.0565214157104492,752.0,1.1067756414413452,5.987878322601318,
95,0.15772247314453125,3.191112995147705,760.0,1.1094424724578857,5.943709373474121,
96,0.9387284517288208,-0.9573298096656799,768.0,1.1112501621246338,5.89827299118042,
97,0.16028594970703125,3.258857011795044,776.0,1.1139860153198242,5.850299835205078,
98,0.937771201133728,-0.8543744683265686,784.0,1.1163790225982666,5.800548553466797,
99,0.16431474685668945,3.3221490383148193,792.0,1.118957757949829,5.748879432678223,
100,434.706787109375,37.145263671875,800.0,1.121532917022705,5.695550441741943,
101,506.1446838378906,-682.1634521484375,808.0,1.1237825155258179,5.640837669372559,
102,0.9359434843063354,-0.6431777477264404,816.0,1.1268236637115479,5.58378791809082,
103,0.17157483100891113,3.4371330738067627,824.0,1.1297390460968018,5.525042533874512,
104,0.9355309009552002,-0.535942792892456,832.0,1.13163161277771,5.465481758117676,
105,0.174696683883667,3.4879324436187744,840.0,1.1348938941955566,5.404160976409912,
106,0.9325868487358093,-0.42354777455329895,848.0,1.137728214263916,5.341691017150879,
107,0.17883801460266113,3.534877300262451,856.0,1.1403406858444214,5.27721643447876,
108,0.9308528304100037,-0.31171706318855286,864.0,1.142967939376831,5.2118024826049805,
109,0.1812894344329834,3.577606201171875,872.0,1.1458940505981445,5.145238399505615,
110,0.9303598403930664,-0.19935813546180725,880.0,1.1489442586898804,5.077483654022217,
111,0.18407201766967773,3.615312099456787,888.0,1.1517093181610107,5.008930206298828,
112,0.928168773651123,-0.08361387252807617,896.0,1.1551849842071533,4.93882417678833,
113,0.18850994110107422,3.6476876735687256,904.0,1.1580878496170044,4.868031024932861,
114,0.9273549318313599,0.03112722933292389,912.0,1.1608593463897705,4.796635627746582,
115,0.19057750701904297,3.6764602661132812,920.0,1.164008378982544,4.724600791931152,
116,0.926392674446106,0.14710739254951477,928.0,1.1669883728027344,4.651558876037598,
117,0.19390082359313965,3.700057029724121,936.0,1.1704535484313965,4.578073978424072,
118,0.9246746301651001,0.26435089111328125,944.0,1.1735557317733765,4.504069805145264,
119,0.1974339485168457,3.7189383506774902,952.0,1.1770670413970947,4.429158687591553,
120,0.9233313202857971,0.3813244104385376,960.0,1.1795532703399658,4.355030059814453,
121,0.20061349868774414,3.732560634613037,968.0,1.1832654476165771,4.27980899810791,
122,0.9219651222229004,0.4985503852367401,976.0,1.186537742614746,4.2044854164123535,
123,0.20403146743774414,3.7416555881500244,984.0,1.190110683441162,4.129078388214111,
124,0.9204938411712646,0.6161536574363708,992.0,1.1938836574554443,4.05381441116333,
125,0.2069082260131836,3.74654483795166,1000.0,1.1968554258346558,3.9783976078033447,
126,0.9195594191551208,0.7321314811706543,1008.0,1.2006142139434814,3.903360605239868,
127,0.21006107330322266,3.746184825897217,1016.0,1.203985571861267,3.828356981277466,
128,0.9179791212081909,0.8485139012336731,1024.0,1.207318663597107,3.7537925243377686,
129,0.21349525451660156,3.7408065795898438,1032.0,1.2111486196517944,3.6799073219299316,
130,0.9165274500846863,0.9645485877990723,1040.0,1.2151514291763306,3.6059839725494385,
131,0.2165522575378418,3.730832815170288,1048.0,1.2182708978652954,3.5327227115631104,
132,0.9152892231941223,1.079332947731018,1056.0,1.2218701839447021,3.460402250289917,
133,0.21993041038513184,3.716472625732422,1064.0,1.2262403964996338,3.388746976852417,
134,0.9138732552528381,1.1926113367080688,1072.0,1.2301579713821411,3.3175947666168213,
135,0.2231428623199463,3.697528839111328,1080.0,1.23439359664917,3.2473063468933105,
136,0.9122989773750305,1.3048086166381836,1088.0,1.2390886545181274,3.177833318710327,
137,0.22622370719909668,3.6740736961364746,1096.0,1.2395110130310059,3.111093044281006,
138,0.9111849069595337,1.4150582551956177,1104.0,1.2450580596923828,3.043656826019287,
